year|rank|song_title|artist|spotify_track_id|spotify_song_name|spotify_url|artist_name|artist_image|artist_genres|release_date|popularity|duration_ms|explicit|danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|mapped_genres|norm_genres|duration_s|loudness_scaled
2019|20|Better|Khalid|2OpBganfGk2GVdSlRdxzaX|Better|https://open.spotify.com/track/2OpBganfGk2GVdSlRdxzaX|Khalid|https://i.scdn.co/image/ab6761610000e5eb24ff450c42d4e36fb34a7631|Pop, Other|2018-10-19|77|229320|1|0.695|0.586|0|-10.315|0|0.0658|0.102|0.317|0.113|0.112|98.035|['Pop', 'Other']|Pop|229|0.8280833333333334
2019|21|No Guidance|Chris Brown Featuring Drake|6XHVuErjQ4XNm6nDPVCxVX|No Guidance (feat. Drake)|https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX|Chris Brown|https://i.scdn.co/image/ab6761610000e5eba48397e590a1c70e2cda7728|R&B/Soul, Hip Hop/Rap|2019-06-28|76|260640|1|0.696|0.454|1|-6.756|0|0.153|0.123|0.0|0.155|0.136|92.928|['R&B/Soul', 'Hip Hop/Rap']|R&B/Soul|261|0.8874
2019|22|Girls Like You|Maroon 5 Featuring Cardi B|6V1bu6o1Yo5ZXnsCJU8Ovk|Girls Like You (feat. Cardi B) - Cardi B Version|https://open.spotify.com/track/6V1bu6o1Yo5ZXnsCJU8Ovk|Maroon 5|https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77|Pop|2018-06-15|64|235545|1|0.779|0.541|0|-6.824|1|0.0658|0.566|0.0|0.13|0.447|124.939|['Pop']|Pop|236|0.8862666666666666
2019|23|Sweet But Psycho|Ava Max|7DnAm9FOTWE3cUvso43HhI|Sweet but Psycho|https://open.spotify.com/track/7DnAm9FOTWE3cUvso43HhI|Ava Max|https://i.scdn.co/image/ab6761610000e5eb56d2d8d16ddedbf61b1c74f0|Pop|2020-09-18|80|187436|0|0.72|0.706|1|-4.719|1|0.0473|0.0684|0.0|0.166|0.62|133.002|['Pop']|Pop|187|0.92135
2019|24|Suge|DaBaby|2gwkD6igEhQbDQegRCcdoB|Suge|https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB|DaBaby|https://i.scdn.co/image/ab6761610000e5eb0da5cd9354d458143258879a|Hip Hop/Rap, Other|2019-03-01|67|163320|1|0.876|0.662|2|-6.482|0|0.426|0.0608|0.0|0.127|0.844|75.445|['Hip Hop/Rap', 'Other']|Hip Hop/Rap|163|0.8919666666666667
2019|25|Middle Child|J. Cole|2JvzF1RMd7lE3KmFlsyZD8|MIDDLE CHILD|https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8|J. Cole|https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc|Hip Hop/Rap, Other|2019-01-23|78|213593|1|0.837|0.364|8|-11.713|1|0.276|0.149|0.0|0.271|0.463|123.984|['Hip Hop/Rap', 'Other']|Hip Hop/Rap|214|0.8047833333333333
2019|26|Drip Too Hard|Lil Baby & Gunna|78QR3Wp35dqAhFEc2qAGjE|Drip Too Hard (Lil Baby & Gunna)|https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE|Lil Baby|https://i.scdn.co/image/ab6761610000e5eb6cad3eff5adc29e20f189a6c|Hip Hop/Rap, Other|2018-10-05|80|145542|1|0.897|0.662|1|-6.903|0|0.292|0.0852|0.0|0.534|0.39|112.509|['Hip Hop/Rap', 'Other']|Hip Hop/Rap|146|0.88495
2019|27|Someone You Loved|Lewis Capaldi|7qEHsqek33rTcFNT9PFqLf|Someone You Loved|https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf|Lewis Capaldi|https://i.scdn.co/image/ab6761610000e5ebea7538654040e553a7b0fc28|Pop|2019-05-17|87|182160|0|0.501|0.405|1|-5.679|1|0.0319|0.751|0.0|0.105|0.446|109.891|['Pop']|Pop|182|0.90535
2019|28|Ran$om|Lil Tecca|1lOe9qE0vR9zwWQAOk6CoO|Ransom|https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO?si=9962f27a8fd04f3a|Lil Tecca|https://i.scdn.co/image/ab6761610000e5ebeeba43c460454fcababda14f|Hip Hop/Rap, Other|2019-08-30|83|131240|1|0.745|0.642|7|-6.257|0|0.287|0.0204|0.0|0.0658|0.226|179.974|['Hip Hop/Rap', 'Other']|Hip Hop/Rap|131|0.8957166666666667
2019|29|If I Can't Have You|Shawn Mendes|2bT1PH7Cw3J9p3t7nlXCdh|If I Can't Have You|https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh|Shawn Mendes|https://i.scdn.co/image/ab6761610000e5ebd56712ef06c48938329731e1|Pop, Other|2019-06-19|72|191466|0|0.691|0.823|2|-4.197|1|0.0622|0.489|0.0|0.134|0.87|123.943|['Pop', 'Other']|Pop|191|0.9300499999999999
2019|30|Goodbyes|Post Malone Featuring Young Thug|0t3ZvGKlmYmVsDzBJAXK8C|Goodbyes (feat. Young Thug)|https://open.spotify.com/track/0t3ZvGKlmYmVsDzBJAXK8C|Post Malone|https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0|Pop, Hip Hop/Rap, Other|2019-09-06|76|174853|1|0.547|0.653|5|-3.875|1|0.081|0.456|0.0|0.103|0.163|150.097|['Pop', 'Hip Hop/Rap', 'Other']|Pop|175|0.9354166666666667
2019|31|ZEZE|Kodak Black Featuring Travis Scott & Offset|0FZ4Dmg8jJJAPJnvBIzD9z|ZEZE (feat. Travis Scott & Offset)|https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z|Kodak Black|https://i.scdn.co/image/ab6761610000e5eb70c05cf4dc9a7d3ffd02ba19|Latin, Hip Hop/Rap, Other|2018-12-14|76|228759|1|0.861|0.603|8|-5.788|0|0.176|0.0521|0.0|0.0924|0.504|98.043|['Latin', 'Hip Hop/Rap', 'Other']|Latin|229|0.9035333333333334
2019|32|Better Now|Post Malone|7dt6x5M1jzdTEt8oCbisTK|Better Now|https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK|Post Malone|https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0|Pop, Hip Hop/Rap, Other|2018-04-27|79|231266|1|0.674|0.578|10|-5.804|1|0.0408|0.331|0.0|0.135|0.34|145.07|['Pop', 'Hip Hop/Rap', 'Other']|Pop|231|0.9032666666666667
2019|33|Youngblood|5 Seconds Of Summer|2iUXsYOEPhVqEBwsqP70rE|Youngblood|https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE|5 Seconds of Summer|https://i.scdn.co/image/ab6761610000e5eb5048d9616b459ef90f04b6d8|Pop|2018-06-15|79|203417|0|0.597|0.854|7|-5.114|0|0.463|0.0169|0.0|0.124|0.152|120.276|['Pop']|Pop|203|0.9147666666666667
2019|34|Money In The Grave|Drake Featuring Rick Ross|5ry2OE6R2zPQFDO85XkgRb|Money In The Grave (Drake ft. Rick Ross)|https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb|Drake|https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9|Pop, Hip Hop/Rap|2019-06-15|74|205426|1|0.831|0.502|10|-4.045|0|0.046|0.101|0.0|0.122|0.101|100.541|['Pop', 'Hip Hop/Rap']|Pop|205|0.9325833333333333
2019|35|Speechless|Dan + Shay|3GJ4hzg4lrGwU51Y3VARbF|Speechless|https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF|Dan + Shay|https://i.scdn.co/image/ab6761610000e5eb2447af13925471ebb858bfe1|Country/Folk, Other|2018-06-22|68|213386|0|0.616|0.438|1|-5.968|1|0.0298|0.356|0.0|0.24|0.386|135.929|['Country/Folk', 'Other']|Country/Folk|213|0.9005333333333333
2019|36|Break Up With Your Girlfriend, I'm Bored|Ariana Grande|4kV4N9D1iKVxx1KLvtTpjS|break up with your girlfriend, i'm bored|https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS|Ariana Grande|https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0|Pop|2019-02-08|74|190440|1|0.727|0.554|5|-5.29|0|0.0915|0.0421|0.0|0.106|0.335|170.0|['Pop']|Pop|190|0.9118333333333334
2019|37|Please Me|Cardi B & Bruno Mars|0PG9fbaaHFHfre2gUVo7AN|Please Me|https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN|Cardi B|https://i.scdn.co/image/ab6761610000e5eb4e8a7e14e2f602eb9af24e31|Pop, Hip Hop/Rap|2019-02-15|76|200889|1|0.747|0.57|1|-6.711|1|0.081|0.0642|0.0|0.0832|0.65|133.992|['Pop', 'Hip Hop/Rap']|Pop|201|0.88815
2019|38|Money|Cardi B|2GGMabyHXnJmjY6CXhhB2e|Money|https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e|Cardi B|https://i.scdn.co/image/ab6761610000e5eb4e8a7e14e2f602eb9af24e31|Pop, Hip Hop/Rap|2018-10-23|69|183527|1|0.95|0.59|8|-6.508|0|0.29|0.00534|0.0|0.11|0.219|130.003|['Pop', 'Hip Hop/Rap']|Pop|184|0.8915333333333333
2019|39|You Need To Calm Down|Taylor Swift|6RRNNciQGZEXnqk8SQ9yv5|You Need To Calm Down|https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5|Taylor Swift|https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676|Pop|2019-08-23|79|171360|0|0.771|0.671|2|-5.617|1|0.0553|0.00929|0.0|0.0637|0.714|85.026|['Pop']|Pop|171|0.9063833333333334
2019|40|Panini|Lil Nas X|1000nHvUdawXuUHgBod4Wv|Panini|https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv|Lil Nas X|https://i.scdn.co/image/ab6761610000e5eb0eefd7d68573ea8f0f4db84a|Hip Hop/Rap|2019-09-13|66|114893|0|0.703|0.594|5|-6.146|0|0.0752|0.342|0.0|0.123|0.475|153.848|['Hip Hop/Rap']|Hip Hop/Rap|115|0.8975666666666666
2019|41|Look Back At It|A Boogie Wit da Hoodie|3Ol2xnObFdKV9pmRD2t9x8|Look Back at It|https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8|A Boogie Wit da Hoodie|https://i.scdn.co/image/ab6761610000e5ebebe9d9f649d6ef85497f71af|Hip Hop/Rap|2018-12-21|76|179449|1|0.791|0.587|3|-5.075|0|0.0413|0.407|0.0|0.148|0.536|96.057|['Hip Hop/Rap']|Hip Hop/Rap|179|0.9154166666666667
2019|42|A Lot|21 Savage|2t8yVaLvJ0RenpXUIAC52d|a lot|https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d|21 Savage|https://i.scdn.co/image/ab6761610000e5eb4f8f76117470957c0e81e5b2|Hip Hop/Rap|2018-12-21|77|288624|1|0.837|0.636|1|-7.643|1|0.086|0.0395|0.00125|0.342|0.274|145.972|['Hip Hop/Rap']|Hip Hop/Rap|289|0.8726166666666667
2019|43|ME!|Taylor Swift Featuring Brendon Urie|2Rk4JlNc2TPmZe2af99d45|ME! (feat. Brendon Urie of Panic! At The Disco)|https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45|Taylor Swift|https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676|Pop|2019-08-23|75|193000|0|0.61|0.83|0|-4.105|1|0.0571|0.033|0.0|0.118|0.728|182.162|['Pop']|Pop|193|0.9315833333333333
2019|44|MIA|Bad Bunny Featuring Drake|3gE4eQH3K83Sght0ZLvuBK|MIA|https://open.spotify.com/track/3gE4eQH3K83Sght0ZLvuBK|Bad Bunny|https://i.scdn.co/image/ab6761610000e5eb9ad50e478a469448c6f369df|Latin|2018-12-23|75|210367|0|0.816|0.538|6|-6.354|0|0.0617|0.0142|0.000485|0.099|0.156|97.055|['Latin']|Latin|210|0.8941
2019|45|Pop Out|Polo G Featuring Lil Tjay|6uFn47ACjqYkc0jADwEdj1|Pop Out (feat. Lil Tjay)|https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1|Polo G|https://i.scdn.co/image/ab6761610000e5ebbedf3bdf589da06d1567196c|Hip Hop/Rap|2019-06-07|74|166560|1|0.772|0.639|1|-7.119|1|0.467|0.15|0.0|0.0698|0.261|168.112|['Hip Hop/Rap']|Hip Hop/Rap|167|0.88135
2019|46|Beautiful Crazy|Luke Combs|2rxQMGVafnNaRaXlRMWPde|Beautiful Crazy|https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde|Luke Combs|https://i.scdn.co/image/ab6761610000e5ebbd634295d99c61823c517c3f|Country/Folk|2018-06-01|82|193200|0|0.551|0.402|11|-7.431|1|0.0262|0.676|0.0|0.0928|0.382|103.313|['Country/Folk']|Country/Folk|193|0.8761500000000001
