Year|Rank|Song Title|Artist|Spotify Track ID|Spotify_song_name|Spotify URL|Artist Name|Artist Image|Artist Genres|Release Date|Popularity|Duration (ms)|Explicit|Danceability|Energy|Key|Loudness|Mode|Speechiness|Acousticness|Instrumentalness|Liveness|Valence|Tempo
2022|3|Stay|The Kid LAROI & Justin Bieber|567e29TDzLwZwfDuEpGTwo|STAY (with Justin Bieber)|https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo|The Kid LAROI|https://i.scdn.co/image/ab6761610000e5eb393666951ab8b14e9c4ed386|australian hip hop|2021-07-27|84.0|141805.0|True|0.591|0.764|1.0|-5.484|1.0|0.0483|0.0383|0.0|0.103|0.478|169.928
2022|4|Easy On Me|Adele|46IZ0fSY2mpAiktS3KOqds|Easy On Me|https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds|Adele|https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17|british soul, pop, pop soul, uk pop|2021-11-19|85.0|224694.0|False|0.604|0.366|5.0|-7.519|1.0|0.0282|0.578|0.0|0.133|0.13|141.981
2022|5|Shivers|Ed Sheeran|50nfwKoDiSYg8zOCREWAm5|Shivers|https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5|Ed Sheeran|https://i.scdn.co/image/ab6761610000e5eb3bcef85e105dfc42399ef0ba|pop, singer-songwriter pop, uk pop|2021-10-25|82.0|207853.0|False|0.788|0.859|2.0|-2.724|1.0|0.0856|0.281|0.0|0.0424|0.822|141.02
2022|6|First Class|Jack Harlow|0wHFktze2PHC5jDt3B17DC|First Class|https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC|Jack Harlow|https://i.scdn.co/image/ab6761610000e5eb2aab40ce03f3fa86163f78bb|deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap|2022-05-06|76.0|173947.0|True|0.902|0.582|5.0|-5.902|0.0|0.109|0.111|3.18e-06|0.111|0.332|107.005
2022|7|Big Energy|Latto|6Zu3aw7FfjAF9WA0fA81Oq|Big Energy|https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq|Latto|https://i.scdn.co/image/ab6761610000e5eba11b0b5c37498f5dddb1bd7b|trap queen|2021-09-24|65.0|173182.0|True|0.935|0.807|11.0|-3.838|0.0|0.114|0.0514|0.0|0.349|0.813|106.017
2022|8|Ghost|Justin Bieber|6I3mqTwhRpn34SLVafSH7G|Ghost|https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G|Justin Bieber|https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36|canadian pop, pop|2021-03-19|84.0|153190.0|False|0.601|0.741|2.0|-5.569|1.0|0.0478|0.185|2.91e-05|0.415|0.441|153.96
2022|9|Super Gremlin|Kodak Black|1Y5Jvi3eLi4Chwqch9GMem|Super Gremlin|https://open.spotify.com/track/1Y5Jvi3eLi4Chwqch9GMem|Kodak Black|https://i.scdn.co/image/ab6761610000e5eb70c05cf4dc9a7d3ffd02ba19|florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino|2022-02-25|67.0|200547.0|True|0.825|0.414|2.0|-6.634|1.0|0.144|0.00265|0.0|0.357|0.106|72.993
2022|10|Cold Heart (PNAU Remix)|Elton John & Dua Lipa|7rglLriMNBPAyuJOMGwi39|Cold Heart - PNAU Remix|https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39|Elton John|https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970|glam rock, mellow gold, piano rock, rock|2021-10-22|69.0|202735.0|False|0.795|0.8|1.0|-6.32|1.0|0.0309|0.0354|7.25e-05|0.0915|0.934|116.032
2022|11|Wait For U|Future Featuring Drake & Tems|59nOXPmaKlBfGMDeOVGrIK|WAIT FOR U (feat. Drake & Tems)|https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK|Future|https://i.scdn.co/image/ab6761610000e5eb6ef89e23678018c6d8630825|atl hip hop, hip hop, rap, southern hip hop, trap|2022-04-29|83.0|189893.0|True|0.463|0.642|1.0|-4.474|1.0|0.34|0.314|0.0|0.0686|0.339|83.389
2022|12|About Damn Time|Lizzo|1PckUlxKqWQs3RlWXVBLw3|About Damn Time|https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3|Lizzo|https://i.scdn.co/image/ab6761610000e5eb0d66b3670294bf801847dae2|escape room, minnesota hip hop, pop, trap queen|2022-04-14|70.0|191822.0|True|0.836|0.743|10.0|-6.305|0.0|0.0656|0.0995|0.0|0.335|0.722|108.966
